id,exam1,exam2,exam3-part1,exam3-part2,exam3-part3
4982ea560ea79bff3d5563e77750c585,63.0,70,28.0,20.0,20.5
94752a15171ce6021b6148fc32fe2c0f,71.0,60,30.0,22.0,16.0
ddd4a8b5e3a7ad6c62b70f142d6b860d,73.0,38,,,0.0
a9b7173ccde20b993c1ff404f42454b5,100.5,98,32.0,26.0,27.0
71daaaf31e0b294204dc452a0769d462,97.5,94,30.0,28.0,26.5
8394204764c1a3a1216e55896e282caf,95.0,98,34.0,26.0,25.0
eb386ae64337da33c29a8eded0987d5a,70.5,87,31.0,28.0,20.0
2c35453637ad09562e39c500b9a21615,79.5,78,29.0,18.0,25.0
7bc1ca3514c795708ed67d14cc11c20b,49.0,64,28.0,10.0,23.0
38bed46decd5824335121059817a0e00,90.5,90,34.0,28.0,23.5
eebdf1063849ab418b8a02c75b5a5037,90.5,92,37.0,22.0,23.0
ec4fcf2d593e5780f5c5465773cf2aa9,94.0,97,32.0,18.0,22.0
965610c24ea4286f23aebf9d4a5c6c86,88.0,98,28.0,14.0,27.0
a00ea71413cbc092b2e9207db8af235f,87.0,103,26.0,26.0,18.0
13418cd86ea04c63f9453d882410ac02,67.5,61,30.0,18.0,22.0
9ddd04c9f2dccb7fbe6f0b96ef3f43d9,70.5,48,27.0,14.0,20.5
6685223f1965c6fa3f8c959749831e33,88.5,100,31.0,16.0,23.0
0d5061b775bb8a4e6256bc5304b75dce,82.0,98,35.0,26.0,25.0
e45530c673ee2896ddf981931af884c5,92.0,73,26.0,16.0,12.5
ff9df1e8a4247676f9ae011bfa36519a,87.0,85,30.0,28.0,30.0
4e90a396a23036b1febc709e7e39ff72,80.0,58,28.0,24.0,20.5
7a97814a58b8c95877fd3a884d712a56,61.5,58,25.0,14.0,16.5
144a4e62c36da6bbbf74aa2248ece420,66.0,54,20.0,14.0,6.0
0a397d28bd5e9d235322a02385fa6737,43.5,45,18.0,8.0,2.5
e053adb7f8f703aad369d475a0dabbc6,64.5,69,33.0,16.0,21.0
3d25a38f5e95aa97fbbb18cba2c687ee,73.5,105,31.0,14.0,23.0
b40e93da4e61ac61b154650fbbb4f3b9,60.0,59,16.0,18.0,6.0
1ccbd3329b472b44bb949a61c3a20cdb,67.0,79,,,0.0
b055bcd7c4a8b5ac2033049103aadf75,95.0,89,34.0,20.0,21.0
5c2cd6e6b9ce26923593035c99462a68,66.5,55,28.0,8.0,4.0
e13e9b3edab1af5b1f4c50fb0dd7a42d,80.5,67,25.0,10.0,16.0
7e7e4c080c25bf2127b6eb0e88385e42,95.0,103,31.0,22.0,24.0
0253e52409f7d60368f3b5abc141bc2c,91.5,111,33.0,20.0,26.5
0b66da079a18c504cc1f55a9732dccf5,64.0,66,25.0,18.0,14.5
51e61dce48152addf94e208ddc768082,96.0,66,32.0,26.0,25.0
47d42aa7f5035e7819011fe41fe53ae7,83.5,63,22.0,16.0,18.0
ef25dc5dded7a0347b20a4a7bc6184b6,92.5,79,30.0,22.0,17.0
01f5acdf01f932b5ed94cb5dd5154fd6,73.0,93,26.0,22.0,25.0
3c64f82b873b7685403412206bc44728,102.0,89,32.0,30.0,30.0
625768168ec22b03166fe474de79073f,70.5,74,22.0,24.0,11.0
e3e649dfa28cc58d54f160f55894f7bf,78.0,97,31.0,26.0,25.0
99075f3104c158c4c2d44e4a1df7f62e,57.5,34,21.0,14.0,10.0
0dde32fb6bea7be67fb5a779fa88e966,81.5,98,36.0,18.0,21.0
83cc05475d3253af23376a50f4d3844f,91.5,102,33.0,30.0,24.0
4fc30eab2ed255b6c5f273b1c97a9435,97.5,93,33.0,22.0,26.0
25ec909e49399632729c276a7204be78,87.0,93,25.0,14.0,18.0
e6b6b64e92cc9edc8fd4f27ecf5b78e5,85.0,93,37.0,22.0,18.5
fd198ab58689e69918b636a44b20b888,98.0,88,34.0,20.0,25.0
09cb240ab3b755121cdf13753d84955f,84.5,74,33.0,24.0,17.0
c1ed23437a9f4fe36345ea508cf4ba25,95.5,99,36.0,30.0,23.0
fd48a1f1a57b866a3522a18c0b6b759d,58.0,67,28.0,24.0,2.5
cf5f40cf1126d5a2f7730fed5d4eeaa0,64.5,97,29.0,18.0,17.0
