id,exam1,exam2,exam3-part1,exam3-part2,exam3-part2.1
986edb4f85bf3604c922632b1712f6be,54.5,52,29,14,5.0
96cfa3749b776407d26de84671fab921,76.0,56,18,14,7.0
d3e2cedddfb011512ec17bae82132b06,94.0,92,37,30,27.0
11bab7e7779cc27a6c5db71371a86f16,79.5,90,31,24,19.5
14cd4405efbfb953a8fbf56bd0a0aa5b,74.0,51,25,16,0.0
73df49d41749399604901be7790765d7,71.5,75,28,10,18.0
7e72ac1135978dc1eb6138454f5ae438,96.5,105,36,22,25.5
23828d0f7da848db727af23554b885f8,93.0,86,28,26,24.5
63a191cb162e45ba89d3c11037a75e40,102.5,91,34,30,27.0
fd42441d690650436129626eaac4dd1c,103.0,104,34,28,21.0
e817704a16530faff4be13ab4c903269,73.0,77,34,26,20.5
fed5a788bcb401826b593e1cdab87c67,91.0,96,28,24,20.0
7f8d779717266f3e86725ab071df31a9,89.0,74,27,12,22.5
c98cffcdb61178d3ed429975ab8d46f9,82.0,78,31,16,18.0
6bec50a3a75c69b4423221ed3b419982,80.5,78,27,22,17.0
e0bddc668c361619b93e8a2eba900292,93.5,88,30,22,24.0
155ed14e150ef424452ae38c9a79b384,91.0,84,31,20,18.0
6f7763cd2e132175029b7bd1dfefb29f,61.0,68,22,16,16.0
888af89f26d8203544a76f45d1480ac7,94.5,81,32,18,19.0
fc6ef1f3716955455d967e51242244ac,67.0,70,23,16,20.5
903264686251a543a9af6abee08968b7,85.5,91,33,22,24.0
f76e67a3e7c71583c82f54a16d159173,68.0,72,27,24,15.5
9d7467db345ee3c782dd375e010d2fe2,77.0,80,31,20,21.5
37c8e065985b39eca081e158d525a0fa,78.0,63,28,16,18.0
9b7a05fb1680b23c1b7d53581600eff3,94.0,87,29,22,26.5
cb45b91e4227854fdf1927e7f31324ca,65.5,58,25,16,12.5
06f8f40c12c2d2568d59219108bb6088,88.5,103,30,24,25.0
458410cc35bc2d113330f468cc2bcb7f,92.0,70,31,22,19.0
e6cf2845e46d7f4372053025655d19e1,94.0,107,32,24,30.0
12cf760bdc924f2abf20845c74606b04,73.5,61,34,24,21.5
faa5204740f3481107a8c76d1d5400a3,28.0,37,15,10,10.5
543ebc4024ebdac7936e8fe1ebdf60ac,102.0,97,37,28,23.0
ae7ea710678f4a243405b8654a6a604a,86.0,75,26,28,21.5
634d165c48ba7b2ad977805d00dd9cf0,84.0,78,32,26,26.0
